state;year;burn;precipitation
Acre;1998;730;2296,1
Acre;1999;333;2182,2
Acre;2000;434;1703,5
Acre;2001;828;1926,9
Acre;2002;3491;1909,9
Acre;2003;6859;1797,1
Acre;2004;3160;2090,4
Acre;2005;9427;1751,7
Acre;2006;1219;2054,6
Acre;2007;1211;1766,2
Acre;2008;2808;1841,4
Acre;2009;2095;2253,1
Acre;2010;4684;1766,4
Acre;2011;1912;1619,4
Acre;2012;3180;2689,4
Acre;2013;3242;2046,3
Acre;2014;2729;2400,3
Acre;2015;5512;2012,4
Acre;2016;6993;1681,7
Acre;2017;7042;1890,3
Alagoas;1998;86;1089,8
Alagoas;1999;172;1257,5
Alagoas;2000;123;2557,4
Alagoas;2001;86;1604,7
Alagoas;2002;258;2012,3
Alagoas;2003;299;1473,4
Alagoas;2004;159;2287,8
Alagoas;2005;217;1533,8
Alagoas;2006;161;1888,7
Alagoas;2007;128;0
Alagoas;2008;277;104
Alagoas;2009;325;2674,3
Alagoas;2010;222;2292,5
Alagoas;2011;232;2372,7
Alagoas;2012;352;1348,6
Alagoas;2013;208;1797,4
Alagoas;2014;190;1837,7
Alagoas;2015;590;1433,2
Alagoas;2016;400;1361,1
Alagoas;2017;159;2976,1
Amapa;1998;278;2275
Amapa;1999;101;2707,3
Amapa;2000;253;2701,8
Amapa;2001;1301;2113,8
Amapa;2002;1957;2488,1
Amapa;2003;1652;1921,3
Amapa;2004;2261;2701,3
Amapa;2005;1271;2591,5
Amapa;2006;817;2820
Amapa;2007;440;2695,3
Amapa;2008;785;2353,3
Amapa;2009;2127;2508
Amapa;2010;721;2415,6
Amapa;2011;1100;2557,7
Amapa;2012;2103;2153,3
Amapa;2013;975;2852,6
Amapa;2014;1490;2528,7
Amapa;2015;1353;2421,8
Amapa;2016;2653;2490
Amapa;2017;1465;2139,4
Amazonas;1998;946;2200,4
Amazonas;1999;1061;2620,3
Amazonas;2000;853;2599,6
Amazonas;2001;1297;1798,4
Amazonas;2002;2852;2322,1
Amazonas;2003;4789;1954,9
Amazonas;2004;3504;2056,9
Amazonas;2005;6780;2208,1
Amazonas;2006;4634;2304,7
Amazonas;2007;2827;2406,2
Amazonas;2008;2717;3157,1
Amazonas;2009;7915;1958,5
Amazonas;2010;8826;2171,9
Amazonas;2011;4188;2780
Amazonas;2012;7745;2312
Amazonas;2013;5118;2723
Amazonas;2014;9288;2564
